Date,KO,WRB,log_KO,log_WRB,spread,spread_mean,spread_std,z_score,ma_10,ma_30,momentum,volatility,asset1_returns,asset2_returns,hedged_returns,target,pred_proba,prediction,Position,strategy_return,capital
2023-08-07,58.01567459106445,40.210968017578125,4.060713225605118,3.6941397946700945,-3.6140935943074433,-3.6789026872030637,0.036379768925152337,1.7814597181460532,-3.6511093605396967,-3.6527506741770446,0.04280633540864853,0.022484489068520415,0.007906404332646666,0.017932145350673334,0.003702662764644496,1,0.56230146,1,0,0.0,124.43346662185803
2023-08-08,57.75968170166016,40.000370025634766,4.0562909838640575,3.6888887047120185,-3.6113857930681887,-3.676677674872862,0.03615012500050805,1.8061315639643138,-3.6440784284027616,-3.6502464966644457,0.04085851498522475,0.02282073499030492,-0.004412478027855604,-0.00523732708576663,0.0027039919534518186,1,0.56230146,1,0,0.0,124.43346662185803
2023-08-09,57.89242172241211,40.05142593383789,4.058586490389399,3.6901642767217124,-3.614241539007109,-3.6748006073723496,0.03627495348330057,1.6694457897270467,-3.636716477670202,-3.648004786477996,0.02808824567993895,0.023843881804648685,0.0022981432175748218,0.001276385897690524,-0.0028596774148891948,1,0.56230146,1,0,-0.0,124.43346662185803
2023-08-10,57.75968170166016,40.4088020324707,4.0562909838640575,3.6990476333272864,-3.601226864452921,-3.672678191707688,0.036609700344908944,1.951704782656142,-3.6309776101670375,-3.645543605031574,0.03674413601116955,0.026332883661474318,-0.002292873865053058,0.008922930714705846,0.013049510555811878,1,0.56230146,1,0,0.0,124.43346662185803
2023-08-11,57.9967155456543,40.80445861816406,4.060386380419763,3.7087913552964697,-3.598853796895081,-3.6703269819339575,0.03651728595290339,1.957242527033795,-3.6246939940685494,-3.644069655171331,0.018839533139026976,0.02795579134857967,0.004103794152094942,0.009791346582742833,0.0024055786701708357,1,0.54545665,1,0,0.0,124.43346662185803
2023-08-14,57.72175979614258,40.715118408203125,4.055634221939564,3.7065994831355003,-3.5924930130704693,-3.6677739702751264,0.03624186195868044,2.077182383468194,-3.618253302403987,-3.6424312696991943,0.021600581236973948,0.030343895419501016,-0.004740884840198856,-0.002189471763293205,0.006342894586530876,1,0.54545665,1,0,0.0,124.43346662185803
2023-08-15,57.33303451538086,40.03866195678711,4.04887697619073,3.689845536225978,-3.5970856655828,-3.665396629108385,0.03588102333296637,1.9038187091732965,-3.612737438156926,-3.640655498601466,0.014300127485388892,0.031991932904515866,-0.006734466900083946,-0.016614380059858158,-0.004494081698029532,1,0.54545665,1,0,-0.0,124.43346662185803
2023-08-16,57.34251022338867,39.96207809448242,4.049042237372632,3.6879309567945997,-3.5992976723921712,-3.6631721836516786,0.03555935937156169,1.7962784591274303,-3.608434226927438,-3.6385094931239848,0.01494386661493774,0.03270047794886092,0.00016527483828321365,-0.0019127477933039705,-0.0022101997492517465,1,0.54545665,1,0,-0.0,124.43346662185803
2023-08-17,57.46576690673828,39.46430969238281,4.051189412363589,3.6753967113662553,-3.615696277377341,-3.6610119186298786,0.03419661620659144,1.3251498621610136,-3.6062067546187633,-3.6373067902541365,-0.014469412924420055,0.032042132238923854,0.0021494818219405243,-0.012456018951835679,-0.016324530207703816,1,0.6710993,1,0,-0.0,124.43346662185803
2023-08-18,57.78812789916992,39.52812194824219,4.05678335491259,3.6770123666490466,-3.6241482716529694,-3.6591749606710477,0.03297849481745384,1.062106964309982,-3.606852248780649,-3.637351076227573,-0.025294474757888263,0.030761158875627026,0.0056096178609224,0.0016169611569740727,-0.008478899908045767,1,0.7658806,1,0,-0.0,124.43346662185803
