Date,KO,WRB,log_KO,log_WRB,spread,spread_mean,spread_std,z_score,ma_10,ma_30,momentum,volatility,hedged_returns,target,pred_proba,prediction,Position,strategy_return,capital
2024-06-13,61.160770416259766,50.924564361572266,4.1135059777156595,3.930345407566162,-3.472901278887652,-3.3900243885526447,0.08196843659829764,-1.0110829701579114,-3.470286435492987,-3.4596184684405027,0.01586648109808797,0.019338984476579866,-0.0018691860013839976,1,0.35833313555584045,0,0,-0.0,110.21378545615494
2024-06-14,61.204795837402344,50.84648513793945,4.114225549804281,3.928810997941106,-3.4757307321347684,-3.392920031338739,0.08171842578641894,-1.013366324658105,-3.4742064067392464,-3.4609864880137695,-0.0010926896019931576,0.019216253232655044,-0.0028287426929428884,1,0.3808141120371024,0,0,-0.0,110.21378545615494
2024-06-17,61.273292541503906,51.86796951293945,4.1153440635261935,3.948701441904778,-3.4578533235356654,-3.395316063746119,0.08136790592053944,-0.7685740352052064,-3.475146813758878,-3.4613942640535975,0.013126623424685846,0.01921192572492816,0.018075415345690203,1,0.29574767270249264,0,0,0.0,110.21378545615494
2024-06-18,61.283077239990234,52.16075134277344,4.115503740228834,3.954330322092364,-3.4525118201079845,-3.397767359230426,0.08071491285851176,-0.6782446878623574,-3.473024157953305,-3.4615141267440257,0.03389434425296978,0.019252206331569613,0.005357352395247364,1,0.2612937412887768,0,0,0.0,110.21378545615494
2024-06-20,60.84275817871094,52.72029113769531,4.108292801319295,3.9650004125176856,-3.428863904956634,-3.3996640187582923,0.08000510716493878,-0.3649752776175026,-3.4679686999521016,-3.4605186730855366,0.042170121101855695,0.0203674369654748,0.02365836469014844,0,0.17845481412876263,0,0,0.0,110.21378545615494
2024-06-21,61.420066833496094,52.368953704833984,4.117736603151063,3.9583139291885114,-3.4525467886793697,-3.401969005497027,0.07939158248344608,-0.6370673262859899,-3.464346602821464,-3.460096957492921,0.020354490208282172,0.020332296197891227,-0.023741087488922348,0,0.2651041818076236,0,0,-0.0,110.21378545615494
2024-06-24,62.594261169433594,53.00495910644531,4.136673599293992,3.9703854772210434,-3.4745569351201206,-3.404689566044037,0.07888612308870095,-0.8856737578233337,-3.4643384920801994,-3.460477728590808,0.001173797014647704,0.020240897333702688,-0.0222617403794262,0,0.36508712291924106,0,0,-0.0,110.21378545615494
2024-06-25,62.4670524597168,53.05085372924805,4.1346392570998,3.9712509578475252,-3.4700301647836307,-3.4074707494293945,0.07803401552996045,-0.8016941705405002,-3.4642435138625265,-3.4607456644861005,-0.012176841247965253,0.01929598974269365,0.0045234233389677804,0,0.35573633436576274,0,0,0.0,110.21378545615494
2024-06-26,62.67253875732422,52.00177383422851,4.137923373346257,3.9512778301963216,-3.4959138521498865,-3.410563667215915,0.07760875248337268,-1.099749476739201,-3.46519428264142,-3.46109793056466,-0.04340203204190196,0.01981927690903134,-0.02569526192970709,0,0.49460880350609676,0,0,-0.0,110.21378545615494
2024-06-27,62.53554916381836,52.04767227172851,4.135735181665651,3.952160073056709,-3.491093430301422,-3.4136459723987795,0.07687466599868997,-1.0074509839686598,-3.4672002230657135,-3.4618373093928043,-0.062229525344787984,0.019848477235242485,0.00481650553498988,0,0.4826113422860584,0,0,0.0,110.21378545615494
