Date,KO,WRB,log_KO,log_WRB,spread,spread_mean,spread_std,z_score,Position,Entry_Value,Current_Value,hedged_returns,strategy_return,capital
2023-05-19,59.12034606933594,36.7211799621582,4.079575130298997,3.6033536992817052,-1.8346177179626335,-1.7469665242355419,0.08327739090821533,-1.0525208915790472,1,,1.0012750120710892,0.0012750120710892296,0.0012750120710892296,90.19928021209344
2023-05-22,57.87828826904297,37.179786682128906,4.058342327536111,3.6157652448408224,-1.7939033784005294,-1.749837217637716,0.08168861543246636,-0.5394406617069405,1,,1.0404933240156373,0.04049332401563735,0.04049332401563735,93.851748891699
2023-05-23,57.774784088134766,36.79124069213867,4.056552419037663,3.605259792172373,-1.8020229278944666,-1.7527303580098843,0.08022172034956401,-0.6144541611647225,1,,0.9919333060413897,-0.008066693958610247,-0.008066693958610247,93.09467555590933
2023-05-24,57.28548049926758,36.186126708984375,4.048047197182761,3.588675805293172,-1.8072696671762962,-1.755589167826182,0.07887264302392796,-0.6552398571762805,1,,0.9948419414853228,-0.005158058514677193,-0.005158058514677193,92.61448777198706
2023-05-25,56.843223571777344,35.73387145996094,4.04029701470623,3.576099019369031,-1.809515654073648,-1.7585909894511227,0.07722609493624834,-0.6594230184054305,1,,0.9977928407895494,-0.0022071592104506033,-0.0022071592104506033,92.41007285227997
2023-05-26,56.70208358764648,35.76572036743164,4.03781095763607,3.576989903044397,-1.8053109186226992,-1.7615187841016102,0.07539495742853403,-0.5808363850141971,1,,1.0042010166047763,0.004201016604776263,0.004201016604776263,92.79828910278098
2023-05-30,56.25042343139648,36.198856353759766,4.0298135687254675,3.5890275258950983,-1.7826129767634211,-1.7641722601904444,0.07307710401316464,-0.25234602303964726,0,,1.022728171686079,0.02272817168607908,0.02272817168607908,94.90742454968338
2023-05-31,56.137508392333984,35.46634292602539,4.027804187909886,3.5685841601721737,-1.8003778882129238,-1.7675922812825777,0.06950721395231316,-0.4716863914706649,0,,,-0.017560051802878167,-0.0,94.90742454968338
2023-06-01,56.45743560791016,36.249813079833984,4.033487002167737,3.5904342248690164,-1.786102872514245,-1.7705000325967124,0.06626302554544061,-0.23546826890409203,0,,,0.014493911902168553,0.0,94.90742454968338
2023-06-02,57.5489501953125,36.7211799621582,4.052635893390955,3.6033536992817052,-1.7987083902436054,-1.7737543815028771,0.06235869413923754,-0.40016887917841504,0,,,-0.012767655814527705,-0.0,94.90742454968338
2023-06-05,57.16315460205078,36.57467269897461,4.045909540518006,3.599355998102637,-1.7937400316009695,-1.776463252035154,0.05934159448482378,-0.29114114165290833,0,,,0.004946251867486708,0.0,94.90742454968338
2023-06-06,56.74913024902344,36.65747833251953,4.03864033023567,3.601617454789867,-1.7817888997689684,-1.7788882061193958,0.05626059449612318,-0.051558176296421,0,,,0.011918557891925655,0.0,94.90742454968338
2023-06-07,56.66444778442383,36.75301742553711,4.037146990870045,3.6042203291056016,-1.777195441500949,-1.781031014332329,0.05347222709091999,0.0717301866791187,0,,,0.004595363117234283,0.0,94.90742454968338
2023-06-08,56.80559539794922,36.498233795166016,4.039634831402537,3.597263870244118,-1.7874681294486137,-1.7832469946721257,0.05068454276415222,-0.08328248705192015,0,,,-0.01025267634438922,-0.0,94.90742454968338
2023-06-09,56.89969253540039,36.428165435791016,4.041289937521911,3.5953422511411537,-1.791595963532842,-1.7853041133803098,0.0482558504682069,-0.1303852298008414,0,,,-0.004127815723957782,-0.0,94.90742454968338
2023-06-12,56.655033111572266,36.402687072753906,4.036980829274549,3.594642592598135,-1.786551688765519,-1.7864400141739083,0.04740883725939637,-0.002355564870737948,0,,,0.005032161612910283,0.0,94.90742454968338
2023-06-13,56.88086700439453,36.402687072753906,4.04095902807211,3.594642592598135,-1.7918545280716471,-1.7878308092097865,0.04622887761860692,-0.08703907750165804,0,,,-0.0053134011817068515,-0.0,94.90742454968338
2023-06-14,57.266658782958984,36.014137268066406,4.047718583215429,3.583911563259637,-1.8115958750262262,-1.7891644715329609,0.0456711146541986,-0.49115077797215945,0,,,-0.019714496464618435,-0.0,94.90742454968338
2023-06-15,58.0536003112793,37.19889831542969,4.061366727086824,3.6162791456639414,-1.797420926389067,-1.7908296132450994,0.043971306508265154,-0.14990032517520738,0,,,0.014579761999080083,0.0,94.90742454968338
2023-06-16,58.47077178955078,37.759429931640625,4.068527001853341,3.631235244013989,-1.7920092948710549,-1.7920179471411615,0.042947528934086744,0.00020146141865066584,0,,,0.00548978141804618,0.0,94.90742454968338
