Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AEP,AMERICAN ELECTRIC POWER INC,Equity,0.12,71.35,149542,10669821.7,10669821.7,Utilities,2026242,US0255371017,New York Stock Exchange Inc.
EA,ELECTRONIC ARTS INC,Equity,0.12,117.05,91001,10651667.05,10651667.05,Communication,2310194,US2855121099,NASDAQ
DAL,DELTA AIR LINES INC,Equity,0.12,54.69,193859,10602148.71,10602148.71,Industrials,B1W9D46,US2473617023,New York Stock Exchange Inc.
APC,ANADARKO PETROLEUM CORP,Equity,0.12,68,155623,10582364,10582364,Energy,2032380,US0325111070,New York Stock Exchange Inc.
TRV,TRAVELERS COMPANIES INC,Equity,0.12,129.51,81601,10568145.51,10568145.51,Financials,2769503,US89417E1091,New York Stock Exchange Inc.
SYY,SYSCO CORP,Equity,0.12,73.28,143929,10547117.12,10547117.12,Consumer Staples,2868165,US8718291078,New York Stock Exchange Inc.
ALL,ALLSTATE CORP,Equity,0.12,98.85,104985,10377767.25,10377767.25,Financials,2019952,US0200021014,New York Stock Exchange Inc.
KMI,KINDER MORGAN INC,Equity,0.11,18.08,572380,10348630.4,10348630.4,Energy,B3NQ4P8,US49456B1017,New York Stock Exchange Inc.
EQIX,EQUINIX REIT INC,Equity,0.11,431.81,23935,10335372.35,10335372.35,Real Estate,BVLZX12,US29444U7000,NASDAQ
EW,EDWARDS LIFESCIENCES CORP,Equity,0.11,162.1,63532,10298537.2,10298537.2,Health Care,2567116,US28176E1082,New York Stock Exchange Inc.
ADI,ANALOG DEVICES INC,Equity,0.11,92.29,111564,10296241.56,10296241.56,Information Technology,2032067,US0326541051,NASDAQ
LYB,LYONDELLBASELL INDUSTRIES NV CLASS,Equity,0.11,105.73,97018,10257713.14,10257713.14,Materials,B3SPXZ3,NL0009434992,New York Stock Exchange Inc.
WMB,WILLIAMS INC,Equity,0.11,27.65,369349,10212499.85,10212499.85,Energy,2967181,US9694571004,New York Stock Exchange Inc.
ADSK,AUTODESK INC,Equity,0.11,153.92,66307,10205973.44,10205973.44,Information Technology,2065159,US0527691069,NASDAQ
NOW,SERVICENOW INC,Equity,0.11,192.9,52880,10200552,10200552,Information Technology,B80NXX8,US81762P1021,New York Stock Exchange Inc.
KHC,KRAFT HEINZ,Equity,0.11,55.93,181819,10169136.67,10169136.67,Consumer Staples,BYRY499,US5007541064,NASDAQ
STZ,CONSTELLATION BRANDS INC CLASS A,Equity,0.11,212.73,47500,10104675,10104675,Consumer Staples,2170473,US21036P1084,New York Stock Exchange Inc.
FISV,FISERV INC,Equity,0.11,81.85,122405,10018849.25,10018849.25,Information Technology,2342034,US3377381088,NASDAQ
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Equity,0.11,35.57,278976,9923176.32,9923176.32,Industrials,BY7QL61,IE00BY7QL619,New York Stock Exchange Inc.
LUV,SOUTHWEST AIRLINES,Equity,0.11,61.18,158966,9725539.88,9725539.88,Industrials,2831543,US8447411088,New York Stock Exchange Inc.
STT,STATE STREET CORP,Equity,0.11,85.45,113382,9688491.9,9688491.9,Financials,2842040,US8574771031,New York Stock Exchange Inc.
REGN,REGENERON PHARMACEUTICALS INC,Equity,0.11,400.57,24136,9668157.52,9668157.52,Health Care,2730190,US75886F1075,NASDAQ
SRE,SEMPRA ENERGY,Equity,0.11,115.74,83100,9617994,9617994,Utilities,2138158,US8168511090,New York Stock Exchange Inc.
EL,ESTEE LAUDER INC CLASS A,Equity,0.11,144.31,65940,9515801.4,9515801.4,Consumer Staples,2320524,US5184391044,New York Stock Exchange Inc.
STI,SUNTRUST BANKS INC,Equity,0.1,65.93,140371,9254660.03,9254660.03,Financials,2860990,US8679141031,New York Stock Exchange Inc.
EBAY,EBAY INC,Equity,0.1,32.56,282725,9205526,9205526,Consumer Discretionary,2293819,US2786421030,NASDAQ
ROP,ROPER TECHNOLOGIES INC,Equity,0.1,297.95,30578,9110715.1,9110715.1,Industrials,2749602,US7766961061,New York Stock Exchange Inc.
PXD,PIONEER NATURAL RESOURCE,Equity,0.1,178.19,51123,9109607.37,9109607.37,Energy,2690830,US7237871071,New York Stock Exchange Inc.
VFC,VF CORP,Equity,0.1,93.06,97876,9108340.56,9108340.56,Consumer Discretionary,2928683,US9182041080,New York Stock Exchange Inc.
WP,WORLDPAY INC CLASS A,Equity,0.1,100.11,90854,9095393.94,9095393.94,Information Technology,BF8D8T0,US9815581098,New York Stock Exchange Inc.
BLKFDS,BLK CSH FND TREASURY SL AGENCY,Money Market,0.1,1,9062794,9062794.22,9062794.22,Cash and/or Derivatives,--,US0669224778,--
CXO,CONCHO RESOURCES INC,Equity,0.1,153.75,58792,9039270,9039270,Energy,B1YWRK7,US20605P1012,New York Stock Exchange Inc.
ALGN,ALIGN TECHNOLOGY INC,Equity,0.1,376.17,24022,9036355.74,9036355.74,Health Care,2679204,US0162551016,NASDAQ
PSA,PUBLIC STORAGE REIT,Equity,0.1,200.24,44894,8989574.56,8989574.56,Real Estate,2852533,US74460D1090,New York Stock Exchange Inc.
CNC,CENTENE CORP,Equity,0.1,145,61260,8882700,8882700,Health Care,2807061,US15135B1017,New York Stock Exchange Inc.
NXPI,NXP SEMICONDUCTORS NV,Equity,0.1,85.08,104019,8849936.52,8849936.52,Information Technology,B505PN7,NL0009538784,NASDAQ
ALXN,ALEXION PHARMACEUTICALS INC,Equity,0.1,135.88,64895,8817932.6,8817932.6,Health Care,2036070,US0153511094,NASDAQ
DG,DOLLAR GENERAL CORP,Equity,0.1,107.47,81222,8728928.34,8728928.34,Consumer Discretionary,B5B1S13,US2566771059,New York Stock Exchange Inc.
YUM,YUM BRANDS INC,Equity,0.1,89.98,96422,8676051.56,8676051.56,Consumer Discretionary,2098876,US9884981013,New York Stock Exchange Inc.
GLW,CORNING INC,Equity,0.1,35.47,242055,8585690.85,8585690.85,Information Technology,2224701,US2193501051,New York Stock Exchange Inc.
ADM,ARCHER DANIELS MIDLAND,Equity,0.09,50.41,168783,8508351.03,8508351.03,Consumer Staples,2047317,US0394831020,New York Stock Exchange Inc.
SQ,SQUARE INC CLASS A,Equity,0.09,97.83,86371,8449674.93,8449674.93,Information Technology,BYNZGK1,US8522341036,New York Stock Exchange Inc.
